,time,latitude,longitude,platform
2442,2023-04-02 15:38:04,-37.86216666666667,17.879666666666665,WGSV3-052
2441,2023-04-02 15:53:04,-37.866166666666665,17.881833333333336,WGSV3-052
2440,2023-04-02 16:08:04,-37.87016666666667,17.883666666666667,WGSV3-052
2439,2023-04-02 16:23:04,-37.87416666666666,17.885833333333334,WGSV3-052
2438,2023-04-02 16:38:04,-37.87833333333333,17.888166666666667,WGSV3-052
2437,2023-04-02 16:53:04,-37.880833333333335,17.895166666666668,WGSV3-052
2436,2023-04-02 17:08:04,-37.88333333333333,17.902833333333334,WGSV3-052
2435,2023-04-02 17:23:04,-37.88433333333333,17.910666666666668,WGSV3-052
2434,2023-04-02 17:38:04,-37.88183333333333,17.918333333333333,WGSV3-052
2433,2023-04-02 17:53:04,-37.879333333333335,17.926166666666667,WGSV3-052
2432,2023-04-02 18:08:04,-37.87383333333333,17.930833333333332,WGSV3-052
2431,2023-04-02 18:23:04,-37.867666666666665,17.934,WGSV3-052
2430,2023-04-02 18:52:09,-37.857499999999995,17.934,WGSV3-052
2429,2023-04-02 19:07:09,-37.852999999999994,17.93166666666667,WGSV3-052
2428,2023-04-02 19:22:09,-37.848499999999994,17.929333333333332,WGSV3-052
2427,2023-04-02 19:37:09,-37.846000000000004,17.926,WGSV3-052
2426,2023-04-02 19:52:09,-37.84466666666666,17.922166666666666,WGSV3-052
2425,2023-04-02 20:07:09,-37.8435,17.918499999999998,WGSV3-052
2424,2023-04-02 20:22:09,-37.842333333333336,17.914499999999997,WGSV3-052
2423,2023-04-02 20:37:09,-37.841,17.910833333333336,WGSV3-052
2422,2023-04-02 20:52:09,-37.84066666666667,17.906833333333335,WGSV3-052
2421,2023-04-02 21:07:09,-37.842,17.9025,WGSV3-052
2420,2023-04-02 21:22:09,-37.8435,17.898000000000003,WGSV3-052
2419,2023-04-02 21:37:09,-37.845,17.8935,WGSV3-052
2418,2023-04-02 21:52:10,-37.84666666666667,17.888666666666666,WGSV3-052
2417,2023-04-02 22:07:10,-37.85133333333333,17.88566666666667,WGSV3-052
2416,2023-04-02 22:22:10,-37.85616666666667,17.883166666666668,WGSV3-052
2415,2023-04-02 22:37:10,-37.861,17.880666666666666,WGSV3-052
2414,2023-04-02 23:06:15,-37.87266666666667,17.884999999999998,WGSV3-052
2413,2023-04-02 23:21:15,-37.87883333333333,17.888666666666666,WGSV3-052
2594,2023-04-02 23:36:15,-37.882,17.898833333333336,WGSV3-052
2593,2023-04-02 23:51:15,-37.885,17.908833333333334,WGSV3-052
2592,2023-04-03 00:06:15,-37.88133333333334,17.92,WGSV3-052
2591,2023-04-03 00:21:15,-37.876333333333335,17.9295,WGSV3-052
2590,2023-04-03 00:36:15,-37.868500000000004,17.933666666666667,WGSV3-052
2589,2023-04-03 00:51:15,-37.86083333333333,17.9355,WGSV3-052
2588,2023-04-03 01:06:15,-37.853833333333334,17.931833333333334,WGSV3-052
2587,2023-04-03 01:21:15,-37.84733333333334,17.9285,WGSV3-052
2586,2023-04-03 01:36:15,-37.84466666666666,17.921833333333332,WGSV3-052
2585,2023-04-03 01:51:15,-37.8425,17.915000000000003,WGSV3-052
2584,2023-04-03 02:06:15,-37.840333333333334,17.908,WGSV3-052
2583,2023-04-03 02:21:15,-37.8425,17.901166666666665,WGSV3-052
2582,2023-04-03 02:36:15,-37.844500000000004,17.895,WGSV3-052
